underlying_price,strike,maturity,volatility,option_type,market_price,bid,ask,volume,open_interest,expiration,moneyness,bs_price,risk_free_rate
272.14,250.0,0.0410958904109589,0.3354558642578125,put,1.105,1.09,1.12,474.0,2997,2026-03-13,0.9186448151686633,0.8448442993043415,0.05
272.14,255.0,0.0410958904109589,0.31519239501953117,put,1.5950000000000002,1.57,1.62,190.0,1145,2026-03-13,0.9370177114720365,1.2714845144820899,0.05
272.14,260.0,0.0410958904109589,0.3050606604003906,put,2.42,2.31,2.53,736.0,1649,2026-03-13,0.9553906077754097,2.0772386032518497,0.05
272.14,265.0,0.0410958904109589,0.2790599438476562,put,3.45,3.4,3.5,408.0,853,2026-03-13,0.973763504078783,2.9718824776745123,0.05
272.14,270.0,0.0410958904109589,0.2640454455566406,put,5.075,5.0,5.15,611.0,679,2026-03-13,0.9921364003821563,4.534395277726389,0.05
272.14,275.0,0.0410958904109589,0.24878680908203127,put,7.300000000000001,7.2,7.4,644.0,682,2026-03-13,1.0105092966855296,6.721891693241247,0.05
272.14,280.0,0.0410958904109589,0.23389437988281248,put,10.25,10.15,10.35,60.0,495,2026-03-13,1.028882192988903,9.647960575556795,0.05
272.14,285.0,0.0410958904109589,0.27368890380859373,put,13.8,12.7,14.9,922.0,43,2026-03-13,1.047255089292276,14.145919799369636,0.05
272.14,100.0,0.06027397260273973,1.5996113769531248,call,172.3,170.5,174.1,5.0,54,2026-03-20,0.3674579260674653,172.54769881595544,0.05
272.14,130.0,0.06027397260273973,1.3125034374999998,call,142.45,140.7,144.2,150.0,79,2026-03-20,0.47769530388770487,142.74911948100822,0.05
272.14,160.0,0.06027397260273973,0.9946289599609376,call,112.5,110.7,114.3,46.0,502,2026-03-20,0.5879326817079444,112.87756931960422,0.05
272.14,170.0,0.06027397260273973,0.99804689453125,call,102.85,101.55,104.15,5.0,743,2026-03-20,0.624678474314691,103.18275213923334,0.05
272.14,175.0,0.06027397260273973,0.9448247705078124,call,97.85,96.55,99.15,20.0,365,2026-03-20,0.6430513706180643,98.19911219006192,0.05
272.14,180.0,0.06027397260273973,0.8686536572265625,call,92.75,91.1,94.4,5.0,537,2026-03-20,0.6614242669214375,93.13379426253957,0.05
272.14,185.0,0.06027397260273973,0.8471694970703124,call,87.875,86.6,89.15,86.0,965,2026-03-20,0.6797971632248108,88.25075600618936,0.05
272.14,190.0,0.06027397260273973,0.79687703125,call,82.875,81.65,84.1,6.0,636,2026-03-20,0.698170059528184,83.26554655149852,0.05
272.14,195.0,0.06027397260273973,0.7573266455078126,call,77.92500000000001,76.7,79.15,16.0,1569,2026-03-20,0.7165429558315574,78.32177196628865,0.05
272.14,200.0,0.06027397260273973,0.7419459399414061,call,73.125,72.1,74.15,48.0,6515,2026-03-20,0.7349158521349306,73.5015193043019,0.05
272.14,205.0,0.06027397260273973,0.7070341796875,call,68.225,67.1,69.35,40.0,158,2026-03-20,0.7532887484383038,68.60039798105944,0.05
272.14,210.0,0.06027397260273973,0.6181678808593751,call,62.949999999999996,61.8,64.1,5.0,4439,2026-03-20,0.7716616447416771,63.389458758105235,0.05
272.14,215.0,0.06027397260273973,0.5170946728515625,call,57.625,56.9,58.35,32.0,1572,2026-03-20,0.7900345410450503,58.143195271099614,0.05
272.14,220.0,0.06027397260273973,0.5583540258789064,call,53.2,52.8,53.6,24.0,6596,2026-03-20,0.8084074373484237,53.62884184687823,0.05
272.14,225.0,0.06027397260273973,0.5764202514648438,call,47.95,47.05,48.85,5.0,2037,2026-03-20,0.8267803336517969,49.19753095367909,0.05
272.14,230.0,0.06027397260273973,0.49414568359375005,call,42.75,42.0,43.5,30.0,6832,2026-03-20,0.8451532299551702,43.91385244543923,0.05
272.14,240.0,0.06027397260273973,0.48291532714843755,call,33.650000000000006,32.6,34.7,70.0,11059,2026-03-20,0.8818990225619167,34.99615027793169,0.05
272.14,245.0,0.06027397260273973,0.42810630493164065,call,28.825,27.95,29.7,86.0,2760,2026-03-20,0.90027191886529,30.014209878120283,0.05
272.14,250.0,0.06027397260273973,0.3891662646484375,call,24.675,24.35,25.0,285.0,13897,2026-03-20,0.9186448151686633,25.30080363793158,0.05
272.14,255.0,0.06027397260273973,0.348639326171875,call,19.8,19.25,20.35,207.0,6707,2026-03-20,0.9370177114720365,20.635028598565015,0.05
272.14,260.0,0.06027397260273973,0.3225165405273437,call,16.049999999999997,15.95,16.15,2967.0,27026,2026-03-20,0.9553906077754097,16.385791715523027,0.05
272.14,265.0,0.06027397260273973,0.3020089331054688,call,12.3,12.25,12.35,979.0,9126,2026-03-20,0.973763504078783,12.5227221949647,0.05
272.14,270.0,0.06027397260273973,0.28613995117187496,call,8.95,8.85,9.05,4608.0,28702,2026-03-20,0.9921364003821563,9.151376507549685,0.05
272.14,275.0,0.06027397260273973,0.27136959106445313,call,6.2,6.15,6.25,7190.0,32738,2026-03-20,1.0105092966855296,6.287802404786916,0.05
272.14,280.0,0.06027397260273973,0.25916268188476566,call,4.0,3.95,4.05,5768.0,69885,2026-03-20,1.028882192988903,4.039425892834274,0.05
272.14,285.0,0.06027397260273973,0.24976336181640624,call,2.425,2.39,2.46,3732.0,45431,2026-03-20,1.047255089292276,2.419818661195876,0.05
272.14,290.0,0.06027397260273973,0.24280542358398435,call,1.38,1.36,1.4,4904.0,29064,2026-03-20,1.0656279855956494,1.3514072540647462,0.05
272.14,295.0,0.06027397260273973,0.24109645629882812,call,0.765,0.74,0.79,3310.0,13614,2026-03-20,1.0840008818990226,0.7432986809304118,0.05
272.14,300.0,0.06027397260273973,0.2395095581054687,call,0.405,0.39,0.42,5297.0,55914,2026-03-20,1.102373778202396,0.3840401917798495,0.05
272.14,305.0,0.06027397260273973,0.2417068017578125,call,0.22,0.21,0.23,562.0,15065,2026-03-20,1.120746674505769,0.20372944752214117,0.05
272.14,310.0,0.06027397260273973,0.2461012890625,call,0.125,0.12,0.13,1129.0,36406,2026-03-20,1.1391195708091424,0.11144766831177133,0.05
272.14,315.0,0.06027397260273973,0.252937158203125,call,0.07,0.06,0.08,336.0,2065,2026-03-20,1.1574924671125157,0.06515153701302356,0.05
272.14,195.0,0.06027397260273973,0.5400436621093752,put,0.085,0.07,0.1,33.0,6457,2026-03-20,0.7165429558315574,0.054415106452795126,0.05
272.14,200.0,0.06027397260273973,0.5224657128906249,put,0.115,0.1,0.13,187.0,11299,2026-03-20,0.7349158521349306,0.07531151678401304,0.05
272.14,205.0,0.06027397260273973,0.49805189453125004,put,0.13,0.12,0.14,26.0,1733,2026-03-20,0.7532887484383038,0.09326782847390191,0.05
272.14,210.0,0.06027397260273973,0.47363807617187503,put,0.16,0.15,0.17,246.0,13605,2026-03-20,0.7716616447416771,0.1156710070137823,0.05
272.14,215.0,0.06027397260273973,0.45606012695312503,put,0.21500000000000002,0.2,0.23,158.0,3515,2026-03-20,0.7900345410450503,0.15993399878768155,0.05
272.14,220.0,0.06027397260273973,0.4335994140625,put,0.245,0.2,0.29,1129.0,18158,2026-03-20,0.8084074373484237,0.20551620026819872,0.05
272.14,225.0,0.06027397260273973,0.4116269775390625,put,0.36,0.35,0.37,172.0,5277,2026-03-20,0.8267803336517969,0.2672096046778609,0.05
272.14,230.0,0.06027397260273973,0.393560751953125,put,0.485,0.47,0.5,629.0,15418,2026-03-20,0.8451532299551702,0.3689353485911262,0.05
272.14,235.0,0.06027397260273973,0.39588006469726567,put,0.74,0.63,0.85,1113.0,7676,2026-03-20,0.8635261262585434,0.6544956957039343,0.05
272.14,240.0,0.06027397260273973,0.37036762451171873,put,0.9,0.75,1.05,2101.0,19528,2026-03-20,0.8818990225619167,0.8219256476499694,0.05
272.14,245.0,0.06027397260273973,0.336920693359375,put,1.19,1.17,1.21,1392.0,9817,2026-03-20,0.90027191886529,0.9569668865670629,0.05
272.14,250.0,0.06027397260273973,0.32068550415039054,put,1.65,1.62,1.68,3983.0,22183,2026-03-20,0.9186448151686633,1.3621913592200627,0.05
272.14,255.0,0.06027397260273973,0.3034737622070312,put,2.245,2.18,2.31,1691.0,11187,2026-03-20,0.9370177114720365,1.9188409890284035,0.05
272.14,260.0,0.06027397260273973,0.289496851196289,put,3.2,3.15,3.25,10197.0,20745,2026-03-20,0.9553906077754097,2.767767772688927,0.05
272.14,265.0,0.06027397260273973,0.27448235290527345,put,4.425,4.35,4.5,1523.0,5619,2026-03-20,0.973763504078783,3.9234655481866696,0.05
272.14,270.0,0.06027397260273973,0.2586133709716797,put,6.075,6.0,6.15,4080.0,9713,2026-03-20,0.9921364003821563,5.479263435722984,0.05
272.14,275.0,0.06027397260273973,0.24573508178710937,put,8.325,8.25,8.4,1156.0,3143,2026-03-20,1.0105092966855296,7.639516446059446,0.05
272.14,280.0,0.06027397260273973,0.23334506896972657,put,11.15,11.05,11.25,139.0,3950,2026-03-20,1.028882192988903,10.419470223370041,0.05
272.14,285.0,0.06027397260273973,0.2691113128662109,put,14.475,13.2,15.75,54.0,357,2026-03-20,1.047255089292276,14.840745881717993,0.05
272.14,290.0,0.06027397260273973,0.27283442016601556,put,18.975,18.15,19.8,18.0,847,2026-03-20,1.0656279855956494,18.860011777390497,0.05
272.14,235.0,0.07945205479452055,0.49341326904296884,call,38.925,37.8,40.05,15.0,48,2026-03-27,0.8635261262585434,40.555705380168774,0.05
272.14,240.0,0.07945205479452055,0.45483943603515625,call,34.4,33.55,35.25,103.0,120,2026-03-27,0.8818990225619167,35.75455582473555,0.05
272.14,250.0,0.07945205479452055,0.3878235046386719,call,25.125,24.25,26.0,13.0,106,2026-03-27,0.9186448151686633,26.473787879094374,0.05
272.14,255.0,0.07945205479452055,0.3560245062255859,call,20.725,19.9,21.55,30.0,144,2026-03-27,0.9370177114720365,21.996305420965285,0.05
272.14,260.0,0.07945205479452055,0.3371648315429688,call,16.8,16.0,17.6,110.0,578,2026-03-27,0.9553906077754097,17.989440623076007,0.05
272.14,265.0,0.07945205479452055,0.3011544494628906,call,13.275,13.15,13.4,131.0,513,2026-03-27,0.973763504078783,13.751313882410528,0.05
272.14,270.0,0.07945205479452055,0.28528546752929684,call,9.975,9.85,10.1,596.0,900,2026-03-27,0.9921364003821563,10.37607351385185,0.05
272.14,275.0,0.07945205479452055,0.2721630401611328,call,7.175,7.05,7.3,946.0,1201,2026-03-27,1.0105092966855296,7.498801203066336,0.05
272.14,280.0,0.07945205479452055,0.2601392346191406,call,4.9,4.8,5.0,541.0,1427,2026-03-27,1.028882192988903,5.128287732274188,0.05
272.14,285.0,0.07945205479452055,0.2523268127441406,call,3.2,3.1,3.3,567.0,5344,2026-03-27,1.047255089292276,3.3695616474192747,0.05
272.14,290.0,0.07945205479452055,0.2454299090576172,call,1.955,1.85,2.06,1689.0,1915,2026-03-27,1.0656279855956494,2.088896095303447,0.05
272.14,295.0,0.07945205479452055,0.24097438720703124,call,1.185,1.13,1.24,461.0,372,2026-03-27,1.0840008818990226,1.2437040535469492,0.05
272.14,300.0,0.07945205479452055,0.24048611083984373,call,0.7,0.65,0.75,1206.0,1337,2026-03-27,1.102373778202396,0.7415516073122213,0.05
272.14,305.0,0.07945205479452055,0.24146266357421875,call,0.4,0.35,0.45,435.0,1757,2026-03-27,1.120746674505769,0.43723802860178473,0.05
272.14,310.0,0.07945205479452055,0.2387771435546875,call,0.21,0.18,0.24,471.0,106,2026-03-27,1.1391195708091424,0.22922095762968198,0.05
272.14,205.0,0.07945205479452055,0.47363807617187503,put,0.2,0.16,0.24,134.0,49,2026-03-27,0.7532887484383038,0.17591019820623988,0.05
272.14,210.0,0.07945205479452055,0.454107021484375,put,0.255,0.21,0.3,35.0,547,2026-03-27,0.7716616447416771,0.22245717689373823,0.05
272.14,215.0,0.07945205479452055,0.4335994140625,put,0.33499999999999996,0.3,0.37,316.0,107,2026-03-27,0.7900345410450503,0.27766364155268874,0.05
272.14,220.0,0.07945205479452055,0.41358008300781246,put,0.41000000000000003,0.36,0.46,295.0,504,2026-03-27,0.8084074373484237,0.3497866559301306,0.05
272.14,225.0,0.07945205479452055,0.39160764648437496,put,0.525,0.49,0.56,141.0,189,2026-03-27,0.8267803336517969,0.4304322123748374,0.05
272.14,230.0,0.07945205479452055,0.3781800463867187,put,0.7,0.64,0.76,178.0,178,2026-03-27,0.8451532299551702,0.5957341701552181,0.05
272.14,235.0,0.07945205479452055,0.36048002807617185,put,0.915,0.85,0.98,257.0,343,2026-03-27,0.8635261262585434,0.7801572870958218,0.05
272.14,240.0,0.07945205479452055,0.34363449340820307,put,1.21,1.14,1.28,374.0,469,2026-03-27,0.8818990225619167,1.034903694939068,0.05
272.14,245.0,0.07945205479452055,0.3270330969238281,put,1.605,1.53,1.68,249.0,681,2026-03-27,0.90027191886529,1.3794941049002176,0.05
272.14,250.0,0.07945205479452055,0.31262894409179687,put,2.16,2.07,2.25,145.0,347,2026-03-27,0.9186448151686633,1.8810434655216426,0.05
272.14,255.0,0.07945205479452055,0.29566134033203123,put,2.875,2.8,2.95,535.0,693,2026-03-27,0.9370177114720365,2.5038563622503176,0.05
272.14,260.0,0.07945205479452055,0.28351546569824215,put,3.875,3.75,4.0,398.0,1642,2026-03-27,0.9553906077754097,3.4577093043548786,0.05
272.14,265.0,0.07945205479452055,0.2688671746826171,put,5.199999999999999,5.1,5.3,945.0,365,2026-03-27,0.973763504078783,4.656424601389631,0.05
272.14,270.0,0.07945205479452055,0.25629405822753903,put,6.925,6.8,7.05,402.0,524,2026-03-27,0.9921364003821563,6.29490214792618,0.05
272.14,275.0,0.07945205479452055,0.24329369995117187,put,9.125,9.0,9.25,214.0,145,2026-03-27,1.0105092966855296,8.386279405094996,0.05
272.14,280.0,0.07945205479452055,0.263251996459961,put,12.35,11.75,12.95,93.0,98,2026-03-27,1.028882192988903,11.96936016372399,0.05
272.14,285.0,0.07945205479452055,0.25952888916015626,put,15.175,14.0,16.35,5.0,217,2026-03-27,1.047255089292276,15.289186981835854,0.05
272.14,290.0,0.07945205479452055,0.25586681640625003,put,18.924999999999997,17.7,20.15,41.0,144,2026-03-27,1.0656279855956494,19.029513769173747,0.05
272.14,295.0,0.07945205479452055,0.29328099304199207,put,23.5,21.9,25.1,27.0,27,2026-03-27,1.0840008818990226,23.920386704673007,0.05
272.14,240.0,0.0958904109589041,0.4558770233154297,call,34.85,33.6,36.1,5.0,41,2026-04-02,0.8818990225619167,36.73948432209838,0.05
272.14,260.0,0.0958904109589041,0.32660585510253903,call,17.375,16.6,18.15,32.0,200,2026-04-02,0.9553906077754097,18.700030964791893,0.05
272.14,265.0,0.0958904109589041,0.30170376037597657,call,14.05,13.85,14.25,57.0,258,2026-04-02,0.973763504078783,14.743999944363509,0.05
272.14,270.0,0.0958904109589041,0.2859568475341796,call,10.8,10.65,10.95,134.0,633,2026-04-02,0.9921364003821563,11.363501300703376,0.05
272.14,275.0,0.0958904109589041,0.27521476745605467,call,8.024999999999999,7.85,8.2,214.0,193,2026-04-02,1.0105092966855296,8.524113907470507,0.05
272.14,280.0,0.0958904109589041,0.2639844110107422,call,5.699999999999999,5.55,5.85,455.0,394,2026-04-02,1.028882192988903,6.092283165291136,0.05
272.14,285.0,0.0958904109589041,0.25299819274902346,call,3.825,3.7,3.95,90.0,563,2026-04-02,1.047255089292276,4.117557668775774,0.05
272.14,290.0,0.0958904109589041,0.2486647399902344,call,2.52,2.38,2.66,171.0,228,2026-04-02,1.0656279855956494,2.7653109911434086,0.05
272.14,295.0,0.0958904109589041,0.2452468054199219,call,1.5899999999999999,1.45,1.73,94.0,122,2026-04-02,1.0840008818990226,1.7912165882028148,0.05
272.14,300.0,0.0958904109589041,0.24329369995117187,call,0.9850000000000001,0.87,1.1,592.0,321,2026-04-02,1.102373778202396,1.1318329489827619,0.05
272.14,305.0,0.0958904109589041,0.24353783813476562,call,0.595,0.49,0.7,114.0,59,2026-04-02,1.120746674505769,0.714041766091956,0.05
272.14,210.0,0.0958904109589041,0.43994700683593746,put,0.33999999999999997,0.26,0.42,172.0,13,2026-04-02,0.7716616447416771,0.32474035302071336,0.05
272.14,215.0,0.0958904109589041,0.42358974853515624,put,0.43000000000000005,0.33,0.53,33.0,21,2026-04-02,0.7900345410450503,0.4146589012378872,0.05
272.14,220.0,0.0958904109589041,0.4035704174804688,put,0.565,0.49,0.64,203.0,41,2026-04-02,0.8084074373484237,0.5046393307025383,0.05
272.14,225.0,0.0958904109589041,0.3852600537109374,put,0.69,0.59,0.79,11.0,56,2026-04-02,0.8267803336517969,0.6296972774714877,0.05
272.14,230.0,0.0958904109589041,0.36963520996093746,put,0.905,0.8,1.01,52.0,104,2026-04-02,0.8451532299551702,0.8141944666342198,0.05
272.14,235.0,0.0958904109589041,0.352545537109375,put,1.15,1.03,1.27,52.0,139,2026-04-02,0.8635261262585434,1.0358490249574963,0.05
272.14,240.0,0.0958904109589041,0.3442448388671875,put,1.56,1.37,1.75,29.0,281,2026-04-02,0.8818990225619167,1.4499531664258072,0.05
272.14,245.0,0.0958904109589041,0.3219061950683593,put,1.96,1.82,2.1,35.0,82,2026-04-02,0.90027191886529,1.7534867070352007,0.05
272.14,250.0,0.0958904109589041,0.3069527313232422,put,2.56,2.41,2.71,49.0,550,2026-04-02,0.9186448151686633,2.291895332360852,0.05
272.14,255.0,0.0958904109589041,0.29395237304687494,put,3.375,3.2,3.55,77.0,339,2026-04-02,0.9370177114720365,3.0429649174811217,0.05
272.14,260.0,0.0958904109589041,0.27997546203613277,put,4.425,4.25,4.6,83.0,153,2026-04-02,0.9553906077754097,3.9954965100941138,0.05
272.14,265.0,0.0958904109589041,0.26618165466308596,put,5.775,5.6,5.95,87.0,87,2026-04-02,0.973763504078783,5.234726744207919,0.05
272.14,270.0,0.0958904109589041,0.2550733673095704,put,7.575,7.4,7.75,213.0,69,2026-04-02,0.9921364003821563,6.913064013345121,0.05
272.14,275.0,0.0958904109589041,0.24311059631347653,put,9.774999999999999,9.6,9.95,53.0,11,2026-04-02,1.0105092966855296,8.989963371232534,0.05
272.14,295.0,0.0958904109589041,0.2551344018554688,put,23.6,22.4,24.8,20.0,23,2026-04-02,1.0840008818990226,23.453797349054128,0.05
272.14,300.0,0.0958904109589041,0.2629468237304688,put,27.975,26.65,29.3,22.0,20,2026-04-02,1.102373778202396,27.90049833019029,0.05
272.14,140.0,0.136986301369863,0.9291999267578125,call,132.89999999999998,131.1,134.7,37.0,25,2026-04-17,0.5144410964944515,133.73257927151656,0.05
272.14,150.0,0.136986301369863,0.8789074609374999,call,123.1,121.2,125.0,37.0,20,2026-04-17,0.551186889101198,123.97452790599553,0.05
272.14,165.0,0.136986301369863,0.7697776928710938,call,108.2,106.45,109.95,10.0,18,2026-04-17,0.6063055780113177,109.16176977311667,0.05
272.14,170.0,0.136986301369863,0.7463404272460938,call,103.325,101.5,105.15,5.0,562,2026-04-17,0.624678474314691,104.30394247015715,0.05
272.14,175.0,0.136986301369863,0.7041045214843751,call,98.3,96.55,100.05,20.0,87,2026-04-17,0.6430513706180643,99.31391594367787,0.05
272.14,180.0,0.136986301369863,0.6989776196289064,call,93.6,92.3,94.9,35.0,161,2026-04-17,0.6614242669214375,94.61305127942148,0.05
272.14,185.0,0.136986301369863,0.6528355029296876,call,88.525,86.75,90.3,87.0,38,2026-04-17,0.6797971632248108,89.57805136536118,0.05
272.14,200.0,0.136986301369863,0.5777630114746093,call,73.95,72.65,75.25,18.0,524,2026-04-17,0.7349158521349306,75.05019815893692,0.05
272.14,205.0,0.136986301369863,0.5424850439453126,call,68.975,67.55,70.4,5.0,601,2026-04-17,0.7532887484383038,70.10151259107451,0.05
272.14,220.0,0.136986301369863,0.47949739257812496,call,54.225,53.7,54.75,9.0,3774,2026-04-17,0.8084074373484237,55.884767156351046,0.05
272.14,225.0,0.136986301369863,0.4545952978515625,call,49.3,48.6,50.0,26.0,1122,2026-04-17,0.8267803336517969,51.138464130441236,0.05
272.14,230.0,0.136986301369863,0.471684970703125,call,45.1,43.95,46.25,20.0,1560,2026-04-17,0.8451532299551702,47.30769484071064,0.05
272.14,235.0,0.136986301369863,0.45038391418457036,call,40.55,39.35,41.75,43.0,1537,2026-04-17,0.8635261262585434,42.79222068246932,0.05
272.14,240.0,0.136986301369863,0.4229794030761719,call,35.95,34.75,37.15,19.0,3476,2026-04-17,0.8818990225619167,38.18228812897647,0.05
272.14,245.0,0.136986301369863,0.4002135174560547,call,31.55,30.35,32.75,80.0,3806,2026-04-17,0.90027191886529,33.75695091398393,0.05
272.14,250.0,0.136986301369863,0.35443760803222646,call,27.0,26.3,27.7,111.0,3996,2026-04-17,0.9186448151686633,28.720526943658,0.05
272.14,255.0,0.136986301369863,0.3399724206542969,call,22.9,22.05,23.75,126.0,3342,2026-04-17,0.9370177114720365,24.709795749218415,0.05
272.14,260.0,0.136986301369863,0.3109199768066406,call,19.35,19.25,19.45,1283.0,11939,2026-04-17,0.9553906077754097,20.367178379920034,0.05
272.14,265.0,0.136986301369863,0.2992318612670898,call,15.35,14.7,16.0,493.0,4567,2026-04-17,0.973763504078783,16.828718002957856,0.05
272.14,270.0,0.136986301369863,0.2854685711669921,call,12.65,12.55,12.75,1847.0,7547,2026-04-17,0.9921364003821563,13.48374263076903,0.05
272.14,275.0,0.136986301369863,0.2737194210815429,call,9.825,9.75,9.9,3146.0,12174,2026-04-17,1.0105092966855296,10.529515301133145,0.05
272.14,280.0,0.136986301369863,0.2656018264770508,call,7.449999999999999,7.35,7.55,1784.0,11852,2026-04-17,1.028882192988903,8.070228383683641,0.05
272.14,285.0,0.136986301369863,0.25580578186035163,call,5.45,5.4,5.5,2322.0,14301,2026-04-17,1.047255089292276,5.914363311386097,0.05
272.14,290.0,0.136986301369863,0.24976336181640624,call,3.9000000000000004,3.85,3.95,1900.0,10664,2026-04-17,1.0656279855956494,4.267694250798286,0.05
272.14,295.0,0.136986301369863,0.24988543090820312,call,2.79,2.67,2.91,892.0,9805,2026-04-17,1.0840008818990226,3.1480768265292127,0.05
272.14,300.0,0.136986301369863,0.24036404174804685,call,1.85,1.83,1.87,3233.0,45517,2026-04-17,1.102373778202396,2.0356383060759313,0.05
272.14,305.0,0.136986301369863,0.2381667980957031,call,1.145,1.03,1.26,1217.0,9126,2026-04-17,1.120746674505769,1.3744470721373219,0.05
272.14,310.0,0.136986301369863,0.23633576171874998,call,0.8200000000000001,0.81,0.83,427.0,5364,2026-04-17,1.1391195708091424,0.9059204534416345,0.05
272.14,315.0,0.136986301369863,0.23706817626953125,call,0.525,0.49,0.56,3078.0,3596,2026-04-17,1.1574924671125157,0.6104904457755111,0.05
272.14,320.0,0.136986301369863,0.23975369628906246,call,0.375,0.36,0.39,372.0,9936,2026-04-17,1.1758653634158889,0.4233551372671265,0.05
272.14,325.0,0.136986301369863,0.24073024902343748,call,0.25,0.24,0.26,289.0,6456,2026-04-17,1.1942382597192622,0.28021854603725593,0.05
272.14,330.0,0.136986301369863,0.2456130126953125,call,0.175,0.16,0.19,221.0,4931,2026-04-17,1.2126111560226354,0.2038420272258481,0.05
272.14,335.0,0.136986301369863,0.252937158203125,call,0.13,0.11,0.15,151.0,896,2026-04-17,1.2309840523260087,0.15988352378995607,0.05
272.14,340.0,0.136986301369863,0.256843369140625,call,0.095,0.08,0.11,133.0,1603,2026-04-17,1.249356948629382,0.11509783575015087,0.05
272.14,345.0,0.136986301369863,0.260749580078125,call,0.07,0.06,0.08,166.0,109,2026-04-17,1.2677298449327552,0.08325118569462076,0.05
272.14,350.0,0.136986301369863,0.26563234375,call,0.05,0.04,0.06,83.0,5064,2026-04-17,1.2861027412361286,0.06251676652254634,0.05
272.14,360.0,0.136986301369863,0.27930408203124996,call,0.035,0.03,0.04,16.0,1797,2026-04-17,1.322848533842875,0.04144793462898422,0.05
272.14,165.0,0.136986301369863,0.5371140039062501,put,0.095,0.08,0.11,63.0,144,2026-04-17,0.6063055780113177,0.07135564687104501,0.05
272.14,170.0,0.136986301369863,0.5195360546875,put,0.115,0.1,0.13,51.0,410,2026-04-17,0.624678474314691,0.0868496297363317,0.05
272.14,190.0,0.136986301369863,0.4633842724609375,put,0.275,0.26,0.29,45.0,1311,2026-04-17,0.698170059528184,0.22753417597065662,0.05
272.14,195.0,0.136986301369863,0.44873598144531246,put,0.345,0.33,0.36,58.0,1777,2026-04-17,0.7165429558315574,0.2835108129344279,0.05
272.14,210.0,0.136986301369863,0.40210558837890625,put,0.575,0.5,0.65,124.0,2492,2026-04-17,0.7716616447416771,0.5209269435913679,0.05
272.14,215.0,0.136986301369863,0.38660281372070304,put,0.77,0.75,0.79,81.0,6146,2026-04-17,0.7900345410450503,0.6373734437963154,0.05
272.14,220.0,0.136986301369863,0.3709779699707031,put,0.925,0.89,0.96,205.0,4755,2026-04-17,0.8084074373484237,0.7788286081739102,0.05
272.14,225.0,0.136986301369863,0.3570620935058594,put,1.17,1.15,1.19,335.0,9830,2026-04-17,0.8267803336517969,0.9729507802945996,0.05
272.14,230.0,0.136986301369863,0.34278000976562495,put,1.275,1.08,1.47,1732.0,9155,2026-04-17,0.8451532299551702,1.2100493518412634,0.05
272.14,235.0,0.136986301369863,0.32923034057617184,put,1.81,1.79,1.83,677.0,10092,2026-04-17,0.8635261262585434,1.5182576814372695,0.05
272.14,240.0,0.136986301369863,0.3255072332763671,put,2.365,2.23,2.5,602.0,10235,2026-04-17,0.8818990225619167,2.102896857857104,0.05
272.14,245.0,0.136986301369863,0.30408410766601557,put,2.755,2.62,2.89,928.0,10693,2026-04-17,0.90027191886529,2.4367077992378086,0.05
272.14,250.0,0.136986301369863,0.2923654748535155,put,3.575,3.5,3.65,910.0,9530,2026-04-17,0.9186448151686633,3.1046310974121525,0.05
272.14,255.0,0.136986301369863,0.2853465020751953,put,4.6,4.45,4.75,1056.0,8836,2026-04-17,0.9370177114720365,4.088578352331673,0.05
272.14,260.0,0.136986301369863,0.26843993286132806,put,5.7,5.65,5.75,1228.0,15884,2026-04-17,0.9553906077754097,4.980435804223646,0.05
272.14,265.0,0.136986301369863,0.2581556118774414,put,6.9,6.55,7.25,1164.0,3978,2026-04-17,0.973763504078783,6.342208766202901,0.05
272.14,270.0,0.136986301369863,0.24842060180664063,put,9.0,8.9,9.1,926.0,3024,2026-04-17,0.9921364003821563,8.041213103700812,0.05
272.14,275.0,0.136986301369863,0.23810576354980467,put,11.175,11.05,11.3,866.0,2905,2026-04-17,1.0105092966855296,10.081399800433388,0.05
272.14,280.0,0.136986301369863,0.22760782165527343,put,13.8,13.7,13.9,204.0,1714,2026-04-17,1.028882192988903,12.520189206030352,0.05
272.14,285.0,0.136986301369863,0.21741505249023438,put,16.85,16.75,16.95,250.0,762,2026-04-17,1.047255089292276,15.408825355669876,0.05
272.14,290.0,0.136986301369863,0.2406081799316406,put,20.4,19.3,21.5,41.0,623,2026-04-17,1.0656279855956494,19.83719882434815,0.05
272.14,295.0,0.136986301369863,0.23371127624511717,put,24.1,22.9,25.3,15.0,495,2026-04-17,1.0840008818990226,23.515116089324096,0.05
272.14,300.0,0.136986301369863,0.2371902453613281,put,28.424999999999997,27.2,29.65,10.0,408,2026-04-17,1.102373778202396,27.769057428180957,0.05
272.14,20.0,0.2136986301369863,2.269535576171875,call,252.3,250.55,254.05,14.0,14,2026-05-15,0.07349158521349305,252.49084688559748,0.05
272.14,145.0,0.2136986301369863,0.8137225659179688,call,128.675,127.35,130.0,9.0,23,2026-05-15,0.5328139927978247,130.0155398017123,0.05
272.14,165.0,0.2136986301369863,0.681887946777344,call,108.82499999999999,107.1,110.55,10.0,454,2026-05-15,0.6063055780113177,110.34860934852111,0.05
272.14,170.0,0.2136986301369863,0.6517368811035158,call,103.875,102.15,105.6,5.0,16,2026-05-15,0.624678474314691,105.44230232301143,0.05
