underlying_price,strike,maturity,volatility,option_type,market_price,bid,ask,volume,open_interest,expiration,moneyness,bs_price,risk_free_rate
272.14,260.0,0.0027397260273972603,0.4858449853515625,call,12.675,12.3,13.05,953.0,19783,2026-02-27,0.9553906077754097,12.272192399862291,0.05
272.14,262.5,0.0027397260273972603,0.43945873046875,call,10.45,10.2,10.7,1306.0,4194,2026-02-27,0.9645770559270964,9.827871077670949,0.05
272.14,265.0,0.0027397260273972603,0.3789124609375,call,8.15,8.0,8.3,3502.0,9846,2026-02-27,0.973763504078783,7.395316871242983,0.05
272.14,267.5,0.0027397260273972603,0.3530338134765625,call,6.15,6.05,6.25,2983.0,4416,2026-02-27,0.9829499522304697,5.143342211818293,0.05
272.14,270.0,0.0027397260273972603,0.32813171874999997,call,4.35,4.3,4.4,13627.0,16036,2026-02-27,0.9921364003821563,3.1451285616259383,0.05
272.14,272.5,0.0027397260273972603,0.31238480590820306,call,2.875,2.85,2.9,13009.0,4943,2026-02-27,1.001322848533843,1.6195525231539563,0.05
272.14,275.0,0.0027397260273972603,0.30274134765625,call,1.755,1.73,1.78,36560.0,18531,2026-02-27,1.0105092966855296,0.6722504928367812,0.05
272.14,277.5,0.0027397260273972603,0.2963937548828125,call,0.99,0.97,1.01,12858.0,10825,2026-02-27,1.0196957448372161,0.21638085743770574,0.05
272.14,280.0,0.0027397260273972603,0.29273168212890616,call,0.515,0.5,0.53,20585.0,32626,2026-02-27,1.028882192988903,0.05327251371846131,0.05
272.14,282.5,0.0027397260273972603,0.29395237304687494,call,0.255,0.24,0.27,4617.0,8564,2026-02-27,1.0380686411405895,0.010944858859848416,0.05
272.14,285.0,0.0027397260273972603,0.295905478515625,call,0.12,0.11,0.13,6548.0,12378,2026-02-27,1.047255089292276,0.0018173187330815521,0.05
272.14,287.5,0.0027397260273972603,0.29883513671874995,call,0.055,0.05,0.06,8106.0,1440,2026-02-27,1.0564415374439626,0.0002543423292015179,0.05
272.14,290.0,0.0027397260273972603,0.30664755859375,call,0.025,0.02,0.03,3297.0,3378,2026-02-27,1.0656279855956494,3.986499733651776e-05,0.05
272.14,240.0,0.0027397260273972603,0.5742230078125,put,0.035,0.03,0.04,581.0,3276,2026-02-27,0.8818990225619167,2.3684550975820468e-05,0.05
272.14,245.0,0.0027397260273972603,0.5195360546875,put,0.055,0.05,0.06,429.0,3196,2026-02-27,0.90027191886529,8.919712028613094e-05,0.05
272.14,247.5,0.0027397260273972603,0.5019581054687501,put,0.08,0.07,0.09,634.0,1320,2026-02-27,0.9094583670169766,0.0002483696177405653,0.05
272.14,250.0,0.0027397260273972603,0.4804739453125,put,0.1,0.09,0.11,2160.0,5844,2026-02-27,0.9186448151686633,0.0006153232437765971,0.05
272.14,252.5,0.0027397260273972603,0.45606012695312503,put,0.14,0.13,0.15,561.0,1713,2026-02-27,0.9278312633203498,0.0014265851283835895,0.05
272.14,255.0,0.0027397260273972603,0.428716650390625,put,0.19,0.18,0.2,3522.0,6944,2026-02-27,0.9370177114720365,0.003146121434671023,0.05
272.14,257.5,0.0027397260273972603,0.401373173828125,put,0.26,0.25,0.27,2028.0,3164,2026-02-27,0.9462041596237232,0.007194253955895791,0.05
272.14,260.0,0.0027397260273972603,0.38086556640624997,put,0.39,0.38,0.4,14423.0,6105,2026-02-27,0.9553906077754097,0.01964250365568132,0.05
272.14,262.5,0.0027397260273972603,0.35938140625,put,0.58,0.57,0.59,4701.0,3116,2026-02-27,0.9645770559270964,0.052125636478646875,0.05
272.14,265.0,0.0027397260273972603,0.33838552246093745,put,0.875,0.87,0.88,9879.0,8554,2026-02-27,0.973763504078783,0.13660965955047288,0.05
272.14,267.5,0.0027397260273972603,0.32300481689453114,put,1.3450000000000002,1.33,1.36,6779.0,1664,2026-02-27,0.9829499522304697,0.36208351501089453,0.05
272.14,270.0,0.0027397260273972603,0.30811238769531246,put,2.045,2.02,2.07,21416.0,5490,2026-02-27,0.9921364003821563,0.8672939832038082,0.05
272.14,272.5,0.0027397260273972603,0.3012765185546875,put,3.075,3.0,3.15,11107.0,1961,2026-02-27,1.001322848533843,1.8792374332406894,0.05
272.14,275.0,0.0027397260273972603,0.28748271118164054,put,4.425,4.35,4.5,4965.0,2131,2026-02-27,1.0105092966855296,3.424860260262335,0.05
272.14,277.5,0.0027397260273972603,0.28711650390624993,put,6.199999999999999,6.1,6.3,759.0,810,2026-02-27,1.0196957448372161,5.514553839341545,0.05
272.14,280.0,0.0027397260273972603,0.3278875805664062,put,8.275,7.95,8.6,851.0,219,2026-02-27,1.028882192988903,7.919160605116019,0.05
272.14,190.0,0.010958904109589041,1.109379453125,call,82.2,80.45,83.95,,29,2026-03-02,0.698170059528184,82.25116561185047,0.05
272.14,260.0,0.010958904109589041,0.5162401892089843,call,13.6,12.5,14.7,47.0,267,2026-03-02,0.9553906077754097,13.849597079564688,0.05
272.14,262.5,0.010958904109589041,0.428716650390625,call,10.775,9.65,11.9,67.0,116,2026-03-02,0.9645770559270964,11.185398897841196,0.05
272.14,265.0,0.010958904109589041,0.3103096313476562,call,8.6,8.45,8.75,577.0,1130,2026-03-02,0.973763504078783,8.269767443381227,0.05
272.14,267.5,0.010958904109589041,0.29456271850585936,call,6.675,6.55,6.8,690.0,648,2026-03-02,0.9829499522304697,6.246220933713431,0.05
272.14,270.0,0.010958904109589041,0.2766185620117187,call,4.9,4.8,5.0,1032.0,896,2026-03-02,0.9921364003821563,4.4066236421895155,0.05
272.14,272.5,0.010958904109589041,0.26392337646484376,call,3.4,3.3,3.5,1109.0,211,2026-03-02,1.001322848533843,2.8964839982849355,0.05
272.14,275.0,0.010958904109589041,0.25354750366210943,call,2.245,2.19,2.3,2797.0,1287,2026-03-02,1.0105092966855296,1.7406399429676611,0.05
272.14,277.5,0.010958904109589041,0.24781025634765624,call,1.3900000000000001,1.34,1.44,821.0,293,2026-03-02,1.0196957448372161,0.9663296812664086,0.05
272.14,280.0,0.010958904109589041,0.24268335449218748,call,0.815,0.79,0.84,3740.0,1275,2026-03-02,1.028882192988903,0.48184353827150517,0.05
272.14,282.5,0.010958904109589041,0.2436599072265625,call,0.47,0.45,0.49,7854.0,78,2026-03-02,1.0380686411405895,0.23551959146105617,0.05
272.14,285.0,0.010958904109589041,0.2461012890625,call,0.26,0.24,0.28,849.0,361,2026-03-02,1.047255089292276,0.11012632474837503,0.05
272.14,287.5,0.010958904109589041,0.2534254345703125,call,0.14500000000000002,0.12,0.17,212.0,151,2026-03-02,1.0564415374439626,0.05518890333526638,0.05
272.14,242.5,0.010958904109589041,0.45215391601562505,put,0.10500000000000001,0.08,0.13,124.0,113,2026-03-02,0.8910854707136033,0.028600777150629586,0.05
272.14,245.0,0.010958904109589041,0.432622861328125,put,0.135,0.11,0.16,6.0,135,2026-03-02,0.90027191886529,0.03897244481113571,0.05
272.14,247.5,0.010958904109589041,0.41309180664062495,put,0.18,0.16,0.2,13.0,170,2026-03-02,0.9094583670169766,0.05369208293035177,0.05
272.14,250.0,0.010958904109589041,0.3930724755859375,put,0.235,0.22,0.25,406.0,268,2026-03-02,0.9186448151686633,0.0742358816973665,0.05
272.14,252.5,0.010958904109589041,0.37402969726562496,put,0.29000000000000004,0.26,0.32,24.0,109,2026-03-02,0.9278312633203498,0.10569155746326153,0.05
272.14,255.0,0.010958904109589041,0.352545537109375,put,0.38,0.36,0.4,328.0,923,2026-03-02,0.9370177114720365,0.1467841912552359,0.05
272.14,257.5,0.010958904109589041,0.33301448242187504,put,0.495,0.47,0.52,151.0,130,2026-03-02,0.9462041596237232,0.21344510358461477,0.05
272.14,260.0,0.010958904109589041,0.31445998046874996,put,0.665,0.64,0.69,1047.0,2474,2026-03-02,0.9553906077754097,0.31890857389776883,0.05
272.14,262.5,0.010958904109589041,0.3007882421875,put,0.9299999999999999,0.89,0.97,254.0,572,2026-03-02,0.9645770559270964,0.509171710092879,0.05
272.14,265.0,0.010958904109589041,0.2833323620605468,put,1.2850000000000001,1.25,1.32,660.0,372,2026-03-02,0.973763504078783,0.778164537214785,0.05
272.14,267.5,0.010958904109589041,0.2695385546875,put,1.8050000000000002,1.76,1.85,403.0,214,2026-03-02,0.9829499522304697,1.2244635528141146,0.05
272.14,270.0,0.010958904109589041,0.2573316455078125,put,2.5549999999999997,2.51,2.6,1864.0,127,2026-03-02,0.9921364003821563,1.9102061773998003,0.05
272.14,272.5,0.010958904109589041,0.24890887817382812,put,3.575,3.5,3.65,1091.0,10,2026-03-02,1.001322848533843,2.936583883348675,0.05
272.14,275.0,0.010958904109589041,0.24536887451171874,put,4.925,4.8,5.05,514.0,20,2026-03-02,1.0105092966855296,4.363075454123958,0.05
272.14,277.5,0.010958904109589041,0.23926541992187497,put,6.550000000000001,6.4,6.7,53.0,27,2026-03-02,1.0196957448372161,6.099964952478331,0.05
272.14,245.0,0.01643835616438356,0.6989776196289064,call,27.575000000000003,25.85,29.3,128.0,20,2026-03-04,0.90027191886529,28.688178790358876,0.05
272.14,255.0,0.01643835616438356,0.5435836657714845,call,18.049999999999997,16.45,19.65,19.0,61,2026-03-04,0.9370177114720365,19.044204925097716,0.05
272.14,257.5,0.01643835616438356,0.43628493408203123,call,15.625,14.75,16.5,30.0,26,2026-03-04,0.9462041596237232,16.076832621301776,0.05
272.14,260.0,0.01643835616438356,0.38403936279296874,call,13.225,12.5,13.95,31.0,197,2026-03-04,0.9553906077754097,13.566647953552717,0.05
272.14,262.5,0.01643835616438356,0.3267889587402344,call,11.25,11.15,11.35,25.0,57,2026-03-04,0.9645770559270964,11.02066691341804,0.05
272.14,265.0,0.01643835616438356,0.3107979077148437,call,9.175,9.05,9.3,107.0,168,2026-03-04,0.973763504078783,8.917620103892318,0.05
272.14,267.5,0.01643835616438356,0.2962716857910156,call,7.300000000000001,7.2,7.4,170.0,171,2026-03-04,0.9829499522304697,6.968171093063745,0.05
272.14,270.0,0.01643835616438356,0.2841868457031249,call,5.6,5.5,5.7,410.0,363,2026-03-04,0.9921364003821563,5.231492910981785,0.05
272.14,272.5,0.01643835616438356,0.2722240747070312,call,4.125,4.05,4.2,1113.0,101,2026-03-04,1.001322848533843,3.7223773743219795,0.05
272.14,275.0,0.01643835616438356,0.26416751464843746,call,2.915,2.84,2.99,1571.0,1090,2026-03-04,1.0105092966855296,2.5261435306360056,0.05
272.14,277.5,0.01643835616438356,0.2557447473144532,call,1.9499999999999997,1.89,2.01,290.0,135,2026-03-04,1.0196957448372161,1.5952049790151932,0.05
272.14,280.0,0.01643835616438356,0.25025163818359375,call,1.25,1.2,1.3,543.0,236,2026-03-04,1.028882192988903,0.9530581854249576,0.05
272.14,285.0,0.01643835616438356,0.24683370361328127,call,0.45999999999999996,0.42,0.5,262.0,184,2026-03-04,1.047255089292276,0.30023941499716145,0.05
272.14,287.5,0.01643835616438356,0.249030947265625,call,0.275,0.24,0.31,160.0,78,2026-03-04,1.0564415374439626,0.16568543975812844,0.05
272.14,240.0,0.01643835616438356,0.44824770507812495,put,0.165,0.14,0.19,89.0,248,2026-03-04,0.8818990225619167,0.07149831266142259,0.05
272.14,245.0,0.01643835616438356,0.414068359375,put,0.245,0.21,0.28,61.0,120,2026-03-04,0.90027191886529,0.1180664273029759,0.05
